DATA,SIGLA_ESTADO,MUNICIPIO,CODIGO_MUNICIPIO_7,OBITOS_NOVOS,OBITOS,CASOS_NOVOS,CASOS,POPULACAO_ESTIMADA,OBITOS_NOVOS_MEDIA_14_DIAS,TAXA_OBITOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_14_DIAS,CASOS_NOVOS_MEDIA_56_DIAS,TAXA_CASOS_NOVOS_MEDIA_14_DIAS,TAXA_CASOS_NOVOS_MEDIA_56_DIAS,TAXA_FATALIDADE,NUMERO_REPRODUCAO_EFETIVO_MEDIA,NUMERO_REPRODUCAO_EFETIVO_VARIANCIA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.025,NUMERO_REPRODUCAO_EFETIVO_MEDIANA,NUMERO_REPRODUCAO_EFETIVO_QUANTIL_0.975
2021-06-29,TOTAL,TOTAL,0,1938,516221,65948,18520490,210147125,1786.2142857142858,0.8499827374342074,69303.07142857143,65203.857142857145,32.97835810438588,31.02771791089559,2.7305136842335136,0.7985848392373119,9.659031437353102e-07,0.7966598683315536,0.7985844361244302,0.8005121010003331
2021-06-30,TOTAL,TOTAL,0,2063,518284,47128,18567618,210147125,1740.7142857142858,0.8283312397037483,66489.42857142857,64681.75,31.639466193710035,30.779269523673,2.689596108087109,0.799926501971158,9.990311491658354e-07,0.7979688206679467,0.7999260857336674,0.8018865487177004
2021-07-01,TOTAL,TOTAL,0,1932,520216,61119,18628737,210147125,1713.428571428571,0.8153471390239438,65393.28571428572,64482.42857142857,31.1178588402224,30.68442100810495,2.6462567623619946,0.8043928827876188,1.037843598277422e-06,0.8023974063348345,0.804392452717329,0.8063908032943904
2021-07-02,TOTAL,TOTAL,0,1875,522091,63565,18692302,210147125,1670.571428571429,0.7949532636106388,63117.07142857143,64245.55357142857,30.0347061272294,30.571702359205997,2.4394212476219086,0.8117729711167878,1.0821680547835173e-06,0.8097343252926603,0.8117725263114777,0.8138141447328067
2021-07-03,TOTAL,TOTAL,0,1635,523726,53729,18746031,210147125,1629.857142857143,0.7755790819679987,61388.42857142857,64102.33928571428,29.212119162433734,30.5035528255332,2.340254886556406,0.8216745839009993,1.1314245346380754e-06,0.8195910218140452,0.8216741248728227,0.823760754607221
2021-07-04,TOTAL,TOTAL,0,771,524497,25460,18771491,210147125,1611.2857142857142,0.7667417359555664,60022.642857142855,63972.69642857143,28.562200342804047,30.44186135240795,2.30357616976084,0.8338725903101816,1.1846765751668535e-06,0.8317408343654809,0.833872116825481,0.8360070370293827
2021-07-05,TOTAL,TOTAL,0,787,525284,27929,18799420,210147125,1597.428571428571,0.7601477162385978,58775.0,63823.44642857143,27.96850063973038,30.370839681281115,2.2705605839860707,0.8483267479611284,1.2413810678525794e-06,0.84614319792549,0.8483262596488998,0.850513073034884
2021-07-06,TOTAL,TOTAL,0,1757,527041,61672,18861092,210147125,1572.7142857142858,0.7483872480835918,54305.92857142857,63673.267857142855,25.841861301423265,30.29937614285366,2.0900036165472704,0.864788543242173,1.3009486409068288e-06,0.862553573474284,0.8647880413964784,0.8670263649577501
2021-07-07,TOTAL,TOTAL,0,1584,528625,54146,18915238,210147125,1524.071428571429,0.7252401994894904,52646.07142857143,63278.78571428572,25.052006506665947,30.111659017122275,2.039809603749036,0.882676932393649,1.3620634768946878e-06,0.8803901386014692,0.8826764176506792,0.8849666514276684
2021-07-08,TOTAL,TOTAL,0,1727,530352,54134,18969372,210147125,1501.857142857143,0.7146693740669271,51040.642857142855,62816.57142857143,24.288051933683533,29.89171107078977,2.0385725144656623,0.9015202235532602,1.4233757711677808e-06,0.8991825405274156,0.901519696888308,0.9038608995725872
2021-07-09,TOTAL,TOTAL,0,1472,531824,58440,19027812,210147125,1463.642857142857,0.6964848351567299,49854.21428571428,62468.892857142855,23.72348148265853,29.72626575649933,2.0086222445282664,0.920507944046493,1.4831839517461784e-06,0.918122008639719,0.9205074067324333,0.9228969329647492
2021-07-10,TOTAL,TOTAL,0,1157,532981,44115,19071927,210147125,1438.0,0.6842824997011022,48672.28571428572,62054.017857142855,23.161052388551933,29.52884454505045,1.9990983601673795,0.9386776032021767,1.538771442777661e-06,0.9362489777909386,0.9386770572656806,0.9411093311254914
2021-07-11,TOTAL,TOTAL,0,564,533545,19144,19091071,210147125,1426.857142857143,0.678980092093643,47755.57142857143,61725.17857142857,22.72482739346133,29.37236403849378,1.993513297739634,0.9551633906716162,1.5875174155082056e-06,0.9526963471522236,0.9551628370507388,0.9576335803727902
2021-07-12,TOTAL,TOTAL,0,779,534324,19211,19110282,210147125,1431.5,0.6811894285967509,46838.57142857143,61432.80357142857,22.28846643920131,29.2332353209346,2.02145622313181,0.9687948238877716,1.6282385049658584e-06,0.96629739958575,0.9687942645319804,0.9712954269626176
2021-07-13,TOTAL,TOTAL,0,1658,535982,48551,19158833,210147125,1411.5,0.6716722867372085,45595.92857142857,60964.08928571428,21.697146021592527,29.010194303497745,2.0367062684296613,0.9790783511936132,1.6597552104046985e-06,0.9765571869644778,0.9790777871411444,0.9816027208864048
2021-07-14,TOTAL,TOTAL,0,1535,537517,56089,19214922,210147125,1373.7857142857142,0.6537256763734999,46236.0,60532.517857142855,22.00172855089024,28.80482797808576,2.066171636307383,0.9860574786863794,1.6821496264171413e-06,0.9835179521335564,0.9860569104381924,0.9886002345467771
2021-07-15,TOTAL,TOTAL,0,1609,539126,54382,19269304,210147125,1350.7142857142858,0.6427469734426706,45754.78571428572,60014.732142857145,21.772739319791174,28.55843597330068,2.0655244203751804,0.989969800505035,1.6960268773863795e-06,0.987420451436249,0.9899692301155668,0.9925223910501207
2021-07-16,TOTAL,TOTAL,0,1389,540515,42903,19312207,210147125,1316.0,0.6262279343578933,44278.92857142857,59412.625,21.07044223014165,28.27191901863992,2.085014355409845,0.9910553023817704,1.7030250310109156e-06,0.9885009870544142,0.991054730394486,0.9936128682656834
2021-07-17,TOTAL,TOTAL,0,1271,541786,49029,19361236,210147125,1290.0,0.6138556499404881,43943.21428571428,59075.767857142855,20.91069020607076,28.111623157891337,2.1013732229666364,0.9896029304799724,1.7047228094377653e-06,0.9870475855489113,0.9896023571899282,0.99216153337107
2021-07-18,TOTAL,TOTAL,0,481,542267,16742,19377978,210147125,1269.2857142857142,0.6039986101573905,43320.5,58687.41071428572,20.61436719631544,27.92682065685444,2.114678151221504,0.9862349438903096,1.7019414645633275e-06,0.9836784239771574,0.9862343681106694,0.9887943196718662
