days_to_fit_within_outbreak,outbreak,date,train_period,estimated_new_deaths_mean,estimated_new_deaths_lower_bound,estimated_new_deaths_upper_bound,actual_death_rate,actual_inside_confidence_interval
28.0,8.0,2020-04-22,False,0.8769371639016365,0.5781827234196519,1.1673173813325766,0.2183001234052075,False
28.0,8.0,2020-04-23,False,1.0252703635956484,0.6528147023484283,1.3724963647069282,0.2365211134026128,False
28.0,8.0,2020-04-24,False,1.196633696220821,0.7790154847715619,1.6390583803202454,0.2537571850217801,False
28.0,8.0,2020-04-25,False,1.3939184153263493,0.8554670055432987,1.91953372403935,0.2721188776446479,False
28.0,8.0,2020-04-26,False,1.6199822751514579,1.0409668282833104,2.166764414397286,0.2935760280276928,False
28.0,8.0,2020-04-27,False,1.8766168895369808,1.193030009413398,2.610475553950038,0.312219125901486,False
28.0,8.0,2020-04-28,False,2.166747511603355,1.3591970682696848,2.981889386105698,0.3411335154340481,False
28.0,8.0,2020-04-29,False,2.4916487653037374,1.5820628625265127,3.4829167673099755,0.3635052328825998,False
28.0,8.0,2020-04-30,False,2.8514873649500805,1.7757109053795923,3.8839453623471,0.3816558715672738,False
28.0,8.0,2020-05-01,False,3.247548291870834,1.9750946205337079,4.446723735837998,0.4023391575102745,False
28.0,8.0,2020-05-02,False,3.676401167905304,2.1799375040320195,5.131843282079358,0.4211933093222614,False
28.0,8.0,2020-05-03,False,4.135868992722695,2.581910774783113,5.661262646659688,0.4398364071960545,False
28.0,8.0,2020-05-04,False,4.6216678780915625,2.7648086456824426,6.424186133288282,0.4591126668844293,False
28.0,8.0,2020-05-05,False,5.125835356164928,3.1065031198969995,7.217421709699229,0.4724794163033752,False
28.0,8.0,2020-05-06,False,5.64125021672186,3.410808543302589,7.916255389008967,0.4831728158385321,False
28.0,8.0,2020-05-07,False,6.1586857780931386,3.7496304198843395,8.521737537884237,0.49555464687924,False
28.0,8.0,2020-05-08,False,6.666891653951327,4.28083932505178,9.430995162503631,0.5084289371090669,False
28.0,8.0,2020-05-09,False,7.154422289546494,4.355725485761762,10.235772674389372,0.5232027127826387,False
28.0,8.0,2020-05-10,False,7.612360326280341,4.607295636681576,10.895097760331387,0.5308006545576187,False
